"timestamp","dst","message"
"2019-02-24T06:41:05.665Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T06:43:09.665Z","192.168.102.38","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T06:43:09.665Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T06:42:11.665Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T06:44:02.665Z","185.121.116.2","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T06:48:45.665Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T06:48:45.665Z","192.168.103.151","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T06:52:43.665Z","192.168.103.19","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T06:52:55.665Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T06:52:55.665Z","192.168.103.196","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T06:55:32.665Z","185.121.116.2","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-03-07T21:21:24.666Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-01-19T05:11:48.352Z","192.168.100.4","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T06:58:01.665Z","192.168.103.196","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T06:58:11.665Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T07:05:38.666Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T07:05:38.666Z","192.168.102.21","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T07:03:51.665Z","192.168.100.123","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-01-19T05:13:28.352Z","185.121.116.2","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-01-19T05:12:38.353Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T07:07:21.666Z","192.168.102.91","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T07:08:16.665Z","185.121.116.2","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-14T11:31:42.352Z","192.168.103.138","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T07:13:15.666Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-14T11:32:58.354Z","185.121.116.2","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T07:15:27.665Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T07:14:31.665Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-14T11:33:23.354Z","185.121.116.2","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-14T11:34:32.352Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-14T11:34:38.354Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T07:19:33.666Z","192.168.102.106","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T07:22:00.665Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-14T11:36:27.353Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T07:23:27.665Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T07:23:27.665Z","192.168.103.19","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-01-19T05:18:45.352Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-01-19T05:18:45.353Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-14T11:37:46.352Z","185.121.116.2","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T07:24:56.665Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-03-07T19:48:07.665Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-01-19T05:18:54.353Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T07:25:43.665Z","185.121.116.2","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-01-19T05:21:43.353Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
